year,race,location,date,network,,spliced_name_1,spliced_name_2,spliced_name_3,spliced_name_4,spliced_name_5,spliced_name_6,spliced_name_7,spliced_name_8,spliced_name_9,spliced_name_10,name_for_macro
2016,Quaker_State_400,"Kentucky_Speedway, Sparta",7_9_2019,NBCSN,7:30 p.m.,Quaker,State,400,,,,,,,,2016_Quaker_State_400
2016,New_Hampshire_301,"New_Hampshire_Motor_Speedway, Loudon",7_17_2019,NBCSN,1:30 p.m.,New,Hampshire,301,,,,,,,,2016_New_Hampshire_301
2016,Combat_Wounded_Coalition_400,"Indianapolis_Motor_Speedway, Speedway",7_24_2019,NBCSN,3:00 p.m.,Crown,Royal,presents,the,,,,,,,2016_Combat_Wounded_Coalition_400
2016,Pennsylvania_400,"Pocono_Raceway, Long_Pond",8_13_2019,NBCSN,12:00 p.m.,Pennsylvania,400,,,,,,,,,2016_Pennsylvania_400
2016,Cheez-It_355_at_The_Glen,"Watkins_Glen_International, Watkins_Glen",8_7_2019,USA,2:30 p.m.,Cheez-It,355,at,The,Glen,,,,,,2016_Cheez-It_355_at_The_Glen
2016,Bass_Pro_Shops_NRA_Night_Race,"Bristol_Motor_Speedway, Bristol",August_20_214,NBCSN,9:00 p.m. ,Bass,Pro,Shops,NRA,Night,Race,,,,,2016_Bass_Pro_Shops_NRA_Night_Race
2016,Pure_Michigan_400,"Michigan_International_Speedway, Brooklyn",8_28_2019,NBCSN,2:00 p.m.,Pure,Michigan,400,,,,,,,,2016_Pure_Michigan_400
2016,Bojangles_Southern_500,"Darlington_Raceway, Darlington",9_4_2019,NBC,6:00 p.m.,Bojangles',Southern,500,,,,,,,,2016_Bojangles_Southern_500
2016,Federated_Auto_Parts_400,"Richmond_International_Raceway, Richmond",9_10_2019,NBCSN,7:30 p.m.,Federated,Auto,Parts,400,,,,,,,2016_Federated_Auto_Parts_400
2016,Teenage_Mutant_Ninja_Turtles_400,"Chicagoland_Speedway, Joliet",9_18_2019,NBCSN,2:30 p.m.,Teenage,Mutant,Ninja,Turtles,400,,,,,,2016_Teenage_Mutant_Ninja_Turtles_400
2016,Bad_Boy_Off_Road_300,"New_Hampshire_Motor_Speedway, Loudon",9_25_2019,NBCSN,2:00 p.m.,Bad,Boy,Off,Road,300,,,,,,2016_Bad_Boy_Off_Road_300
2016,Citizen_Soldier_400,"Dover_International_Speedway, Dover",10_2_2019,NBCSN,2:00 p.m.,Citizen,Soldier,400,,,,,,,,2016_Citizen_Soldier_400
2016,Bank_of_America_500,"Charlotte_Motor_Speedway, Concord",10_1_1995,NBC,12:00 p.m.,Bank,of,America,500,,,,,,,2016_Bank_of_America_500
2016,Hollywood_Casino_400,"Kansas_Speedway, Kansas_City",10_16_2019,NBC,2:30 p.m.,Hollywood,Casino,400,,,,,,,,2016_Hollywood_Casino_400
2016,Hellmanns_500,"Talladega_Superspeedway, Lincoln",10_23_2019,NBCSN,2:00 p.m.,Hellmann's,500,,,,,,,,,2016_Hellmanns_500
2016,Goodys_Fast_Relief_500,"Martinsville_Speedway, Ridgeway",10_30_2019,NBCSN,1:00 p.m.,Goody's,Fast,Relief,500,,,,,,,2016_Goodys_Fast_Relief_500
2016,AAA_Texas_400,"Texas_Motor_Speedway, Fort_Worth",11_6_2019,NBC ,7:30 p.m.,AAA,Texas,500,,,,,,,,2016_AAA_Texas_400
2016,Can-Am_500,"Phoenix_International_Raceway, Avondale",11_13_2019,NBC,2:30 p.m.,Can-Am,500,,,,,,,,,2016_Can-Am_500
2016,Ford_EcoBoost_400,"Homestead-Miami_Speedway, Homestead",11_20_2019,NBC,3:00 p.m.,Ford,EcoBoost,400,,,,,,,,2016_Ford_EcoBoost_400
2017,Daytona_500,2_26_2019,2:30 p.m.,Fox,,Daytona,500,,,,,,,,,2017_Daytona_500
2017,Folds_of_Honor_QuikTrip_500,"Atlanta_Motor_Speedway, Hampton,_Georgia",3_5_2019,2:30 p.m.,Fox,Folds,of,Honor,QuikTrip,500,,,,,,2017_Folds_of_Honor_QuikTrip_500
2017,Kobalt_400,"Las_Vegas_Motor_Speedway, Las_Vegas,_Nevada",3_12_2019,3:30 p.m.,Fox,Kobalt,400,,,,,,,,,2017_Kobalt_400
2017,Camping_World_500,"Phoenix_International_Raceway, Avondale,_Arizona",3_19_2019,3:30 p.m.,Fox,Camping,World,500,,,,,,,,2017_Camping_World_500
2017,Auto_Club_400,"Auto_Club_Speedway, Fontana,_California",3_26_2019,3:30 p.m.,Fox,Auto,Club,400,,,,,,,,2017_Auto_Club_400
